player,firstname,lastname,ht,wt,b,t,pos1,pos2,debut,final,birth,death
Bruner,NA,Bruner,,,,,LF,NA,1915,1915,,
Claud Bryson,Claud,Bryson,,,,,2B,NA,1911,1911,,
Ches Buchanan,Ches,Buchanan,"6'1""",179,,R,P,NA,1935,1944,"8/10/1907								 (Philadelphia, PA)","8/8/1964								 (New York, NY)"
Buck,NA,Buck,,,R,R,P,NA,1923,1923,,
Cody Buckley,Cody,Buckley,,,,,1B,NA,1910,1910,,
Buckner,NA,Buckner,,,,,SS,NA,1914,1914,,
Harry Buckner,Harry,Buckner,,,R,R,RF,NA,1896,1917,"10/22/1872								 (Hopkinsville, KY)",3/26/1938 (death place unknown)
Eddie Buell,Eddie,Buell,,,,,P,NA,1917,1917,"5/20/1895								 (Waco, TX)","2/25/1960								 (Waco, TX)"
Black Bottom Buford,Black,Buford,,,,R,2B,NA,1929,1933,1906 (birthplace unknown),
Ora Buford,Ora,Buford,,,,,P,NA,1914,1914,,
Royster Bullock,Royster,Bullock,,,,,P,NA,1921,1921,"6/8/1890								 (Henderson, NC)",
Buddy Burbage,Buddy,Burbage,"5'6""",160,L,R,RF,NA,1929,1943,"6/23/1907								 (Salisbury, MD)","8/30/1989								 (Philadelphia, PA)"
Burbank,NA,Burbank,,,,,-,NA,1932,1932,,
Edgar Burch,Edgar,Burch,"5'11""",180,,R,P,NA,1914,1917,"2/15/1894								 (Jeffersonville, IN)","12/5/1957								 (Jeffersonville, IN)"
Walter Burch,Walter,Burch,"5'10""",170,R,R,3B,C,1934,1946,"5/2/1909								 (Atlanta, GA)",
Louis Burgee,Louis,Burgee,"5'7""",140,,R,2B,NA,1917,1921,"12/19/1890								 (Philadelphia, PA)","1/1/1966								 (Philadelphia, PA)"
P. Burgett,P.,Burgett,,,,,C,NA,1920,1920,,
Ralph Burgin,Ralph,Burgin,"5'9""",179,R,R,RF,LF,1930,1939,"9/3/1907								 (Morgantown, NC)",
Ernest Burke,Ernest,Burke,,,,,LF,NA,1914,1914,,
Tex Burnett,Tex,Burnett,"5'9""",170,B,R,C,1B,1922,1941,"12/24/1899								 (Houston, TX)","2/9/1962								 (Los Angeles, CA)"
Willie Burnham,Willie,Burnham,,,,,P,NA,1932,1932,,
Pete Burns,Pete,Burns,,,,,C,NA,1894,1900,1/1870 (birthplace unknown),
Willie Burns,Willie,Burns,"6'0""",175,L,L,P,NA,1935,1945,"1/12/1916								 (West Palm Beach, FL)","2/10/1966								 (West Palm Beach, FL)"
Bill Burton,Bill,Burton,,,,,RF,NA,1918,1918,,
Jim Busby,Jim,Busby,"5'8""",,,,3B,NA,1933,1933,"11/28/1900								 (Benton Harbor, MI)",10/2/1960 (death place unknown)
Maurice Busby,Maurice,Busby,"5'8""",174,,L,P,NA,1921,1922,"3/31/1892								 (Benton Harbor, MI)","11/3/1945								 (Indianapolis, IN)"
Luis Bustamante,Luis,Bustamante,"5'6""",,R,R,SS,NA,1904,1913,"1880								 (San Juan y Martínez, Cuba)",
Butler,NA,Butler,,,,,RF,NA,1917,1917,,
K. C. Butler,K. C.,Butler,,,,,P,NA,1925,1925,,
Subby Byas,Subby,Byas,"5'11""",180,B,R,C,NA,1932,1942,"3/19/1910								 (Sabine County, TX)","10/8/1985								 (Chicago, IL)"
Bill Byrd,Bill,Byrd,"6'1""",210,B,R,P,NA,1933,1948,"7/15/1907								 (Canton, GA)","1/4/1991								 (Philadelphia, PA)"
Ollie Byrd,Ollie,Byrd,,,,,1B,NA,1921,1921,1896 (birthplace unknown),"5/7/1929								 (Chicago, IL)"
Armando Cabañas,Armando,Cabañas,"5'5""",,R,R,2B,NA,1910,1910,"1878								 (Guanabacoa, Cuba)",11/21/1959 (death place unknown)
Cable,NA,Cable,,,,,CF,NA,1930,1930,,
Alfredo Cabrera,Alfredo,Cabrera,"5'10""",,R,R,SS,NA,1905,1906,"5/11/1881								 (Canary Islands, Spain)","1964								 (Batabanó, Cuba)"
Joe Cade,Joe,Cade,,,,R,P,NA,1929,1929,"4/5/1900								 (St. Louis, MO)",
Bill Cadreau,Bill,Cadreau,"5'9""",150,R,R,P,NA,1917,1917,"9/2/1888								 (Cloquet, MN)","9/17/1946								 (Cloquet, MN)"
Evelio Calderín,Evelio,Calderín,,,R,R,P,NA,1917,1924,"1/25/1896								 (Havana, Cuba)",
Benito Calderón,Benito,Calderón,,,,,C,NA,1926,1928,"1902								 (Cienfuegos, Cuba)",
Lefty Calhoun,Lefty,Calhoun,"5'9""",180,L,L,P,NA,1932,1946,"8/21/1911								 (Union City, TN)","10/2/1976								 (Cleveland, OH)"
Andrew Campbell,Andrew,Campbell,,,,,C,NA,1903,1910,1875 (birthplace unknown),
Bobby Campbell,Bobby,Campbell,,,,,C,NA,1932,1932,,
Bullet Campbell,Bullet,Campbell,"5'10""",190,,R,P,NA,1923,1929,"2/2/1896								 (Savannah, GA)","10/28/1968								 (Boston, MA)"
Emmet Campbell,Emmet,Campbell,,,,,3B,NA,1918,1922,"6/1/1887								 (St. David, IL)","1/29/1929								 (Smith Township, PA)"
Joe Campbell,Joe,Campbell,,,,,RF,NA,1930,1930,,
Roberto Campos,Roberto,Campos,"5'6""",,,,LF,NA,1923,1923,"1902								 (Manzanillo, Cuba)",
Tatica Campos,Tatica,Campos,"5'10""",,R,R,RF,NA,1915,1930,"1/27/1892								 (Güira de Melena, Cuba)",
Genaro Camps,Genaro,Camps,,,,,LF,NA,1906,1906,,
Walter Cannady,Walter,Cannady,"5'10""",180,R,R,SS,2B,1921,1945,"3/6/1902								 (Norfolk, VA)","12/3/1981								 (Fort Myers, FL)"
Richard Cannon,Richard,Cannon,,,,R,P,NA,1928,1932,"9/1909								 (Mount Vernon, IN)","2/3/1935								 (Louisville, KY)"
George Capers,George,Capers,"5'11""",185,,,2B,NA,1912,1914,"9/2/1892								 (Charleston, SC)",
Lefty Capers,Lefty,Capers,"5'10""",189,,L,P,NA,1930,1931,"10/10/1906								 (Savannah, GA)","1/15/1961								 (Boston, MA)"
Francisco Cárdenas,Francisco,Cárdenas,,,R,R,C,NA,1924,1927,"1898								 (Havana, Cuba)",
Matt Carlisle,Matt,Carlisle,"5'6""",145,R,R,2B,NA,1932,1948,"2/5/1910								 (Wenonah, AL)","11/18/1972								 (Pittsburgh, PA)"
Carpenter,NA,Carpenter,,,R,,CF,NA,1923,1923,,
Buddy Carpenter,Buddy,Carpenter,"5'3""",158,,,2B,NA,1922,1922,"11/10/1894								 (Harrisburg, PA)","7/1973								 (Harrisburg, PA)"
Cliff Carr,Cliff,Carr,,,,,LF,NA,1932,1932,,
George Carr,George,Carr,"5'11""",200,B,R,1B,NA,1920,1934,"9/2/1894								 (Atlanta, GA)","1/14/1948								 (McPherson, KS)"
Johnny Carr,Johnny,Carr,,,,,1B,NA,1918,1920,1/1/1887 (birthplace unknown),
Wayne Carr,Wayne,Carr,"5'11""",175,R,R,P,NA,1920,1928,"3/4/1897								 (Henderson, KY)","7/27/1954								 (Milwaukee, WI)"
Bernardo Carrillo,Bernardo,Carrillo,,,L,L,1B,NA,1899,1907,1874 (birthplace unknown),
Carson,NA,Carson,,,,,3B,NA,1910,1910,,
Carter,NA,Carter,,,,,P,NA,1932,1932,,
Alfred Carter,Alfred,Carter,,,,,RF,NA,1934,1934,,
Bill Carter,Bill,Carter,,,,,2B,NA,1930,1932,,
Cliff Carter,Cliff,Carter,"6'0""",210,,R,P,NA,1923,1934,"12/10/1898								 (Lewistown, PA)","11/1979								 (Philadelphia, PA)"
Dallas Carter,Dallas,Carter,,,,R,3B,NA,1910,1914,"2/14/1888								 (Louisville, KY)","4/20/1942								 (Chicago, IL)"
Kid Carter,Kid,Carter,,,,L,P,NA,1898,1906,,
Marlin Carter,Marlin,Carter,"5'7""",160,L,R,SS,3B,1932,1948,"12/27/1912								 (Haslam, TX)","12/20/1993								 (Memphis, TN)"
Paul Carter,Paul,Carter,"6'1""",172,,R,P,NA,1931,1936,"5/10/1900								 (Kennett Square, PA)",
Spoon Carter,Spoon,Carter,"5'11""",176,L,R,P,NA,1932,1948,"12/8/1902								 (Harpersville, AL)","1/23/1974								 (Birmingham, AL)"
William Carter,William,Carter,,,,R,C,NA,1920,1920,"9/8/1889								 (Houston, TX)",
Caruthers,NA,Caruthers,,,,,1B,NA,1935,1935,,
Kid Cary,Kid,Cary,,,,R,3B,NA,1915,1919,"9/23/1891								 (Clarksville, TN)","5/25/1964								 (St. Louis, MO)"
Case,NA,Case,,,,,RF,NA,1932,1932,,
Frank Casey,Frank,Casey,,,,L,P,NA,1915,1915,,
Joe Casey,Joe,Casey,"6'0""",167,,L,P,NA,1920,1921,"7/1/1900								 (Blackwell, MO)","4/3/1987								 (South Bend, IN)"
Mickey Casey,Mickey,Casey,"5'7""",200,,R,C,NA,1930,1942,"5/5/1905								 (Newport News, VA)","1/1968								 (Philadelphia, PA)"
Edgar Cason,Edgar,Cason,,,,,C,NA,1923,1923,"1/15/1900								 (Seneca, SC)","3/15/1929								 (Birmingham, AL)"
John Cason,John,Cason,"5'9""",172,R,R,C,NA,1918,1928,"2/9/1895								 (Norfolk, VA)","1/8/1951								 (Princess Anne County, VA)"
Julián Castillo,Julián,Castillo,"6'2""",200,R,R,1B,NA,1911,1911,"1/23/1880								 (Havana, Cuba)",12/1948 (death place unknown)
Luis Castro,Luis,Castro,"5'8""",,,,C,NA,1929,1930,"1905								 (Havana, Cuba)",
Joe Cates,Joe,Cates,"5'8""",151,,R,SS,NA,1931,1931,"8/3/1905								 (Madisonville, KY)","10/13/1967								 (Louisville, KY)"
Harry Catto,Harry,Catto,,,,,RF,NA,1887,1891,"2/2/1865								 (Bordentown, NJ)","2/5/1912								 (St. Augustine, FL)"
Armando Celada,Armando,Celada,"5'7""",,,R,SS,NA,1929,1929,"1901								 (Cienfuegos, Cuba)",
Goldie Cephus,Goldie,Cephus,"5'11""",172,,,LF,NA,1928,1934,"10/16/1898								 (Preston, MD)","12/9/1983								 (Philadelphia, PA)"
Pelayo Chacón,Pelayo,Chacón,"5'8""",140,R,R,SS,NA,1910,1931,"9/22/1888								 (Havana, Cuba)","3/11/1971								 (Caracas, Venezuela)"
Pelayo Chacón Jr.,Pelayo,,,,,,3B,NA,1930,1930,,
Ed Chamberlain,Ed,Chamberlain,,,,,1B,NA,1888,1891,,
Rube Chambers,Rube,Chambers,,170,L,L,P,NA,1925,1927,"9/18/1903								 (Spartanburg, SC)","2/7/1928								 (West Palm Beach, FL)"
Edward Chapman,Edward,Chapman,,,,,P,NA,1927,1931,,
Bennie Charleston,Bennie,Charleston,"5'10""",182,R,R,P,NA,1931,1932,"4/29/1907								 (Indianapolis, IN)","2/29/1988								 (Indianapolis, IN)"
Oscar Charleston,Oscar,Charleston,"5'8""",185,L,L,CF,1B,1915,1941,"10/14/1896								 (Indianapolis, IN)","10/5/1954								 (Philadelphia, PA)"
Porter Charleston,Porter,Charleston,"6'1""",181,,R,P,NA,1927,1935,"1/8/1904								 (Mexia, TX)","6/11/1986								 (Chester, PA)"
Red Charleston,Red,Charleston,,,R,R,C,NA,1923,1932,1905 (birthplace unknown),
Chase,NA,Chase,,,,,P,NA,1920,1921,,
Chatman,NA,Chatman,,,,,P,NA,1922,1922,,
George Cheatham,George,Cheatham,,,,,P,NA,1934,1934,,
Walter Cheatham,Walter,Cheatham,"5'11""",214,,,RF,NA,1917,1917,"12/25/1890								 (Richmond, VA)","8/15/1959								 (Philadelphia, PA)"
David Chester,David,Chester,,,R,R,RF,NA,1926,1926,,
Charles Childs,Charles,Childs,,,,,P,NA,1910,1910,,
Son Childs,Son,Childs,,,R,R,-,NA,1929,1929,,
Thad Christopher,Thad,Christopher,"5'11""",176,L,R,LF,NA,1935,1945,"12/24/1912								 (Tampa, FL)","1/28/1973								 (Los Angeles, CA)"
Clark,NA,Clark,,,,,P,NA,1931,1931,,
Clark,NA,Clark,,,,,RF,NA,1928,1928,,
Clark,NA,Clark,,,,,SS,NA,1932,1932,,
Clark,NA,Clark,,,,,LF,NA,1936,1936,,
Clark,NA,Clark,,,,,3B,NA,1887,1887,,
Albert Clark,Albert,Clark,"6'2""",165,,,LF,NA,1930,1930,"7/2/1910								 (Fayette, MS)","3/12/1988								 (Baton Rouge, LA)"
Alex Clark,Alex,Clark,,,R,R,LF,NA,1931,1931,,
Dell Clark,Dell,Clark,"5'5""",146,,R,SS,NA,1921,1921,"5/10/1891								 (Topeka, KS)","7/28/1955								 (Topeka, KS)"
Loney Clark,Loney,Clark,,,,,SS,NA,1917,1917,"10/12/1895								 (Argenta, AR)","3/29/1937								 (Little Rock, AR)"
Maceo Clark,Maceo,Clark,"5'11""",170,,,P,NA,1923,1925,"7/9/1897								 (Chatham, VA)","7/29/1990								 (Moraine, OH)"
Morten Clark,Morten,Clark,"5'9""",130,L,R,SS,NA,1908,1923,"12/19/1889								 (Bristol, TN)","11/17/1943								 (Los Angeles, CA)"
Ray Clark,Ray,Clark,,,,,P,NA,1934,1935,,
Sensation Clark,Sensation,Clark,"5'10""",162,R,R,P,NA,1922,1924,"7/11/1902								 (Americus, GA)","5/2/1964								 (Pittsburgh, PA)"
Bob Clarke,Bob,Clarke,"5'10""",175,R,R,C,NA,1922,1948,"1/8/1903								 (Richmond, VA)","1/1971								 (Newark, NJ)"
Jimmy Claxton,Jimmy,Claxton,"5'10""",160,L,L,P,NA,1932,1932,"12/14/1892								 (Wellington, Canada)","3/3/1970								 (Tacoma, WA)"
Buddy Clay,Buddy,Clay,,,,R,2B,NA,1921,1921,"3/28/1894								 (Pittsburgh, PA)","8/18/1967								 (Los Angeles, CA)"
Lefty Clay,Lefty,Clay,,,,L,P,NA,1932,1932,,
Zack Clayton,Zack,Clayton,"6'0""",192,L,L,1B,NA,1932,1945,"4/17/1913								 (Gloucester County, VA)","11/20/1997								 (Philadelphia, PA)"
Ralph Cleage,Ralph,Cleage,"5'10""",180,L,R,LF,NA,1924,1924,"1/25/1898								 (Athens, TN)","10/28/1977								 (Knoxville, TN)"
William Clinton,William,Clinton,,,,,RF,NA,1917,1917,"11/23/1888								 (Vineland, NJ)",
Lorenza Cobb,Lorenza,Cobb,"5'10""",208,,R,C,NA,1913,1920,"2/10/1888								 (Hernando, MS)","1/21/1953								 (San Antonio, TX)"
W. Cobb,W.,Cobb,,,,,C,NA,1928,1932,,
Willie Cobb,Willie,Cobb,,,,,RF,NA,1908,1909,,
Phil Cockrell,Phil,Cockrell,"5'9""",157,R,R,P,NA,1917,1934,"6/29/1895								 (Augusta, GA)","3/31/1951								 (Philadelphia, PA)"
Archie Cole,Archie,Cole,"5'11""",212,,R,P,NA,1923,1924,"11/26/1900								 (Washington Court House, OH)","1/10/1952								 (Frankfort, OH)"
Arthur Coleman,Arthur,Coleman,,,,L,P,NA,1919,1921,"3/18/1898								 (Indianapolis, IN)","2/27/1960								 (Dayton, OH)"
Clarence Coleman,Clarence,Coleman,"5'10""",198,,R,C,NA,1911,1918,"4/4/1884								 (Louisville, KY)",
Gilbert Coleman,Gilbert,Coleman,,,,,RF,NA,1929,1932,,
Colley,NA,Colley,,,,,C,NA,1932,1932,,
Bob Collier,Bob,Collier,,,,,C,NA,1928,1928,,
Collins,NA,Collins,,,,,SS,NA,1933,1933,,
Collins,NA,Collins,,,,,P,NA,1928,1928,,
Atkins Collins,Atkins,Collins,"6'2""",180,,,P,NA,1932,1932,"6/14/1909								 (Piper, AL)","5/24/1947								 (Mount Vernon, AL)"
Eddie Collins,Eddie,Collins,,,,,C,NA,1910,1918,,
George Collins,George,Collins,,,R,,RF,NA,1923,1925,,
Nat Collins,Nat,Collins,,,,,3B,NA,1888,1891,,
Sonny Collins,Sonny,Collins,,,,,P,NA,1933,1934,,
Jack Combs,Jack,Combs,,,R,R,P,NA,1923,1926,,
Monchile Concepción,Monchile,Concepción,,,R,R,RF,NA,1929,1934,"2/5/1905								 (San Juan, Puerto Rico)","12/4/1967								 (San Juan, Puerto Rico)"
Chief Connell,Chief,Connell,,,,,P,NA,1913,1913,,
Jimmy Cooke,Jimmy,Cooke,,,,L,P,NA,1932,1932,,
Cooper,NA,Cooper,,,L,,P,NA,1921,1921,,
Cooper,NA,Cooper,,,,,1B,NA,1913,1913,,
Cooper,NA,Cooper,,,,,CF,NA,1924,1924,,
Alex Cooper,Alex,Cooper,,,,,2B,NA,1928,1928,,
Andy Cooper,Andy,Cooper,"5'10""",200,R,L,P,NA,1920,1939,"4/4/1896								 (Washington County, TX)","6/3/1941								 (Waco, TX)"
Anthony Cooper,Anthony,Cooper,"5'5""",162,R,R,SS,NA,1928,1941,"7/20/1904								 (Arkadelphia, AR)","10/1979								 (Schenectady, NY)"
Army Cooper,Army,Cooper,"6'3""",250,L,L,P,NA,1928,1932,"11/1/1899								 (Kansas City, KS)","3/19/1966								 (Kansas City, KS)"
Champ Cooper,Champ,Cooper,,,L,,1B,NA,1913,1918,,
Darltie Cooper,Darltie,Cooper,"5'10""",185,R,R,P,NA,1923,1940,"8/2/1902								 (Arkadelphia, AR)","2/13/1944								 (Schenectady, NY)"
Sam Cooper,Sam,Cooper,,,,,P,NA,1923,1929,"8/5/1897								 (Brooklyn, NY)",
Charles Corbett,Charles,Corbett,,,R,R,P,NA,1921,1927,"3/8/1890								 (Orangeburg, SC)",
Pete Córdova,Pete,Córdova,"5'4""",140,R,R,3B,NA,1915,1923,"11/8/1892								 (Havana, Cuba)","1/1974								 (Philadelphia, PA)"
Willie Cornelius,Willie,Cornelius,"5'8""",180,R,R,P,NA,1929,1946,"9/3/1906								 (Atlanta, GA)","10/30/1989								 (Chicago, IL)"
Harry Cornett,Harry,Cornett,,,,,C,NA,1913,1913,1876 (birthplace unknown),
Francisco Correa,Francisco,Correa,,,R,R,SS,2B,1926,1941,"1905								 (Havana, Cuba)",
Aurelio Cortés,Aurelio,Cortés,"5'6""",,R,R,C,NA,1928,1935,"1904								 (Cienfuegos, Cuba)",
Cortez,NA,Cortez,,,,,-,NA,1928,1928,,
Ramón Couto,Ramón,Couto,"5'11""",,R,R,C,NA,1935,1935,"12/8/1906								 (Havana, Cuba)",2/17/1977 (death place unknown)
Alphonso Cox,Alphonso,Cox,"6'1""",202,,L,P,NA,1930,1945,"3/14/1908								 (Fort Myers, FL)",7/1964 (death place unknown)
Comer Cox,Comer,Cox,"5'6""",150,,,RF,NA,1930,1931,"5/9/1905								 (Athens, AL)","8/1971								 (Springfield, IL)"
Tom Cox,Tom,Cox,,,,,P,NA,1928,1928,,
William Craddock,William,Craddock,,,,,RF,NA,1929,1929,,
Charlie Craig,Charlie,Craig,,,,,P,NA,1926,1927,"1905								 (Martinsburg, WV)",
Homer Craig,Homer,Craig,,,,,P,NA,1934,1935,,
John Crain,John,Crain,,,,,C,NA,1922,1922,1902 (birthplace unknown),
Hubert Crawford,Hubert,Crawford,,,R,R,3B,NA,1932,1936,,
Sam Crawford,Sam,Crawford,"6'1""",200,R,R,P,NA,1910,1931,"4/15/1892								 (Dallas, TX)",
Dewey Creacy,Dewey,Creacy,"5'9""",160,R,R,3B,NA,1924,1938,"4/13/1899								 (Fort Worth, TX)","11/17/1984								 (Los Angeles, CA)"
Willie Creek,Willie,Creek,,,R,R,C,NA,1924,1933,,
Ralph Crespo,Ralph,Crespo,,,,,RF,NA,1933,1933,1906 (birthplace unknown),
Rogelio Crespo,Rogelio,Crespo,"5'10""",170,R,R,2B,NA,1918,1927,"9/16/1894								 (Havana, Cuba)","8/27/1985								 (Miami, FL)"
Crittenden,NA,Crittenden,,,,,1B,NA,1902,1902,,
Frank Crockett,Frank,Crockett,,,,,CF,NA,1916,1923,,
Cross,NA,Cross,,,,,RF,NA,1932,1932,,
Bunnie Cross,Bunnie,Cross,,,,,1B,NA,1887,1887,,
Norman Cross,Norman,Cross,,,L,R,P,NA,1932,1937,"8/16/1910								 (New Orleans, LA)","4/25/1982								 (Chicago, IL)"
Deedy Crosson,Deedy,Crosson,"5'9""",178,,R,SS,NA,1920,1920,"11/11/1898								 (Rutherford, NJ)","2/19/1973								 (New York, NY)"
Will Crowder,Will,Crowder,"5'9""",180,,,P,NA,1920,1920,"2/26/1898								 (Cluster Springs, VA)","5/23/1967								 (Wilkes-Barre, PA)"
Lum Croxton,Lum,Croxton,,,,,P,NA,1908,1909,2/1885 (birthplace unknown),"4/22/1916								 (Argenta, AR)"
James Crump,James,Crump,"5'4""",167,,,2B,NA,1921,1923,"3/14/1898								 (Jacksonville, FL)","3/9/1986								 (Salem, VA)"
Willis Crump,Willis,Crump,,,,R,LF,NA,1916,1916,"1/18/1893								 (Jacksonville, FL)",
Jimmie Crutchfield,Jimmie,Crutchfield,"5'7""",150,L,R,CF,NA,1930,1945,"3/25/1910								 (Ardmore, MO)","3/31/1993								 (Chicago, IL)"
Basilio Cueria,Basilio,Cueria,"5'11""",197,R,R,RF,NA,1921,1922,"6/14/1898								 (Marianao, Cuba)","5/8/1959								 (New York, NY)"
Charlie Culver,Charlie,Culver,,,,R,2B,NA,1916,1920,"11/17/1892								 (Buffalo, NY)","1/4/1970								 (Montreal, Canada)"
Cummings,NA,Cummings,,,,,C,NA,1932,1932,,
Chance Cummings,Chance,Cummings,"5'11""",175,R,R,1B,NA,1916,1928,"6/8/1892								 (Jacksonville, FL)","4/22/1974								 (Atlantic City, NJ)"
Chick Cummings,Chick,Cummings,,,,,SS,NA,1909,1909,,
Harry Cummings,Harry,Cummings,,,,,P,NA,1887,1887,"5/13/1866								 (Baltimore, MD)","9/6/1917								 (Baltimore, MD)"
Cunningham,NA,Cunningham,,,,,P,NA,1918,1918,,
Cunningham,NA,Cunningham,,,,,P,NA,1932,1932,,
Cunningham,NA,Cunningham,,,,,P,NA,1932,1932,,
Harry Cunningham,Harry,Cunningham,,,,,P,NA,1930,1932,,
John Cunningham,John,Cunningham,,,,R,SS,NA,1912,1920,"8/9/1892								 (Montgomery, AL)","11/16/1922								 (Montgomery, AL)"
Marion Cunningham,Marion,Cunningham,,,,,1B,NA,1924,1925,"12/30/1895								 (Montgomery, AL)","1/28/1982								 (Montgomery, AL)"
Vernon Cunningham,Vernon,Cunningham,,,,,CF,NA,1933,1934,,
Goose Curry,Goose,Curry,"6'2""",180,L,R,LF,RF,1928,1947,"5/19/1905								 (Mexia, TX)","3/30/1974								 (Memphis, TN)"
Rube Curry,Rube,Curry,"6'1""",195,R,R,P,NA,1920,1932,"10/10/1898								 (Kansas City, MO)","6/11/1966								 (Chicago, IL)"
Curtis,NA,Curtis,,,,,C,NA,1932,1932,,
William Curtis,William,Curtis,,,,L,1B,NA,1924,1924,,
Angel D'Meza,Angel,Meza,"5'7""",,R,R,P,NA,1905,1906,1877 (birthplace unknown),
Eggie Dallard,Eggie,Dallard,,,L,R,1B,NA,1921,1933,"5/6/1899								 (Winslow, NJ)","11/26/1933								 (Philadelphia, PA)"
Porter Dallas,Porter,Dallas,"6'0""",,R,R,3B,NA,1929,1932,"1904								 (New Orleans, LA)","2/1/1936								 (New Orleans, LA)"
Lunie Danage,Lunie,Danage,"5'6""",165,R,R,2B,NA,1920,1920,"6/15/1895								 (Pittsburg, TX)","3/17/1982								 (Houston, TX)"
Ray Dandridge,Ray,Dandridge,"5'5""",175,R,R,3B,NA,1933,1944,"8/31/1913								 (Richmond, VA)","2/12/1994								 (Palm Bay, FL)"
Richard Dandridge,Richard,Dandridge,"5'7""",160,R,R,SS,NA,1919,1919,"8/16/1891								 (Washington, DC)","4/7/1978								 (Washington, DC)"
Troy Dandridge,Troy,Dandridge,"5'11""",168,,R,SS,NA,1926,1926,"4/22/1904								 (Lucy, TN)","4/12/1993								 (Los Angeles, CA)"
George Dandy,George,Dandy,"5'11""",158,,L,P,NA,1912,1917,"12/3/1890								 (Columbus, GA)","10/6/1946								 (Pittsburgh, PA)"
Daniels,NA,Daniels,,,,,P,NA,1928,1928,,
Fred Daniels,Fred,Daniels,"5'9""",180,R,R,RF,NA,1919,1927,"1/27/1893								 (Greenville, TX)","2/27/1993								 (Sandy Spring, MD)"
Pepper Daniels,Pepper,Daniels,"5'10""",192,R,R,C,NA,1921,1935,"8/20/1902								 (Valdosta, GA)","9/25/1978								 (Chester, NY)"
Dasler,NA,Dasler,,,,,-,NA,1926,1926,,
Lloyd Davenport,Lloyd,Davenport,"5'5""",150,L,L,RF,CF,1935,1945,"10/28/1911								 (New Orleans, LA)","9/1985								 (New Orleans, LA)"
Davidson,NA,Davidson,,,,,-,NA,1929,1929,,
Davis,NA,Davis,,,,,P,NA,1916,1916,,
Davis,NA,Davis,,,,,SS,NA,1918,1918,,
Davis,NA,Davis,,,,,2B,NA,1920,1920,,
Davis,NA,Davis,,,,,P,NA,1920,1920,,
Davis,NA,Davis,,,,,C,NA,1911,1912,,
Davis,NA,Davis,,,,,SS,NA,1891,1891,,
Davis,NA,Davis,,,,,RF,NA,1918,1918,,
Davis,NA,Davis,,,,,CF,NA,1932,1932,,
Albert Davis,Albert,Davis,,,,R,P,NA,1927,1931,,
Ambrose Davis,Ambrose,Davis,,,,,RF,NA,1887,1891,"1/1863								 (New York, NY)","1/27/1909								 (New York, NY)"
Big Boy Davis,Big,Davis,,,,,P,NA,1932,1932,,
Bunch Davis,Bunch,Davis,,,,,SS,NA,1906,1911,,
Dago Davis,Dago,Davis,,,,,P,NA,1907,1909,1882 (birthplace unknown),
Earl Davis,Earl,Davis,,,,,2B,NA,1928,1936,,
Goldie Davis,Goldie,Davis,,,,R,LF,NA,1924,1926,,
Jack Davis,Jack,Davis,,,,,2B,NA,1922,1923,,
Johnny Davis,Johnny,Davis,"5'9""",173,R,R,P,NA,1902,1915,"7/13/1883								 (Muncie, IN)","10/7/1946								 (St. Paul, MN)"
L. Davis,L.,Davis,,,,,RF,NA,1924,1925,,
Oscar Davis,Oscar,Davis,"5'6""",186,,,LF,NA,1926,1926,"3/6/1896								 (Harshmanville, OH)","5/28/1958								 (Dayton, OH)"
Preacher Davis,Preacher,Davis,,,,R,3B,NA,1921,1922,,
Quack Davis,Quack,Davis,,,,,LF,NA,1908,1914,,
Roosevelt Davis,Roosevelt,Davis,"5'9""",168,R,R,P,NA,1924,1945,"11/19/1904								 (Bartlesville, OK)","12/28/1968								 (Chicago, IL)"
Saul Davis,Saul,Davis,"5'11""",176,R,R,SS,NA,1925,1934,"2/22/1901								 (Monticello, AR)","2/8/1994								 (Minot, ND)"
Sherman Davis,Sherman,Davis,,,,,3B,NA,1925,1925,,
Steel Arm Davis,Steel,Davis,"6'1""",175,L,L,RF,NA,1920,1935,"6/22/1896								 (Wortham, TX)","11/30/1941								 (Chicago, IL)"
Dawson,NA,Dawson,,,,,P,NA,1906,1906,,
Day,NA,Day,,,,,3B,NA,1921,1921,,
Connie Day,Connie,Day,"5'8""",160,R,R,2B,NA,1917,1932,"12/30/1897								 (Lima, OH)","6/23/1961								 (Indianapolis, IN)"
Leon Day,Leon,Day,"5'9""",170,R,R,P,CF,1934,1946,"10/30/1916								 (Alexandria, VA)","3/13/1995								 (Baltimore, MD)"
Bobby Dean,Bobby,Dean,,,,R,3B,NA,1925,1929,,
Nelson Dean,Nelson,Dean,"5'7""",,,R,P,NA,1925,1932,"2/18/1899								 (Muskogee, OK)","8/26/1939								 (St. Louis, MO)"
Yank Deas,Yank,Deas,"5'6""",148,R,R,C,NA,1917,1924,"1/8/1895								 (Savannah, GA)","5/8/1972								 (New York, NY)"
Dusty Decker,Dusty,Decker,"5'7""",190,,,SS,2B,1932,1937,"10/19/1911								 (Hopkinsville, KY)","10/11/1962								 (Evansville, IN)"
Lionel Decuir,Lionel,Decuir,"5'8""",160,R,R,C,NA,1936,1940,"12/21/1914								 (New Orleans, LA)","4/14/1977								 (New Orleans, LA)"
Fred Delaney,Fred,Delaney,,,,,2B,NA,1904,1905,"3/10/1880								 (Knox County, TN)",
